"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 07 06:39:46 UTC 2025","Sun Dec 07 06:39:46 UTC 2025","103","","Edge Cases & Boundary Conditions","","com.npci.upi.integration.UPITransferIntegrationTest$EdgeCaseTests","testExactMinimumAmount","✅ Transfer with exact minimum amount boundary",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","11","","Transfer Processing - Error Scenarios","","com.npci.upi.unit.UPITransferServiceTest$TransferErrorTests","testSamePayerAndPayee","❌ Same payer and payee should throw PaymentException",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","5","","Transfer Processing - Error Scenarios","","com.npci.upi.unit.UPITransferServiceTest$TransferErrorTests","testInvalidPayeeVPA","❌ Invalid payee VPA should throw PaymentException",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testInvalidVPAFormats","❌ Invalid VPA formats should fail validation [2] @okicici",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","2","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testInvalidVPAFormats","❌ Invalid VPA formats should fail validation [1] invalid",""
"passed","Sun Dec 07 06:39:41 UTC 2025","Sun Dec 07 06:39:41 UTC 2025","43","","Transaction Status Check","","com.npci.upi.unit.UPITransferServiceTest$StatusCheckTests","testInvalidReferenceStatus","❌ Invalid reference should return INVALID_REF",""
"passed","Sun Dec 07 06:39:46 UTC 2025","Sun Dec 07 06:39:47 UTC 2025","103","","Multi-Bank Transfer Scenarios","","com.npci.upi.integration.UPITransferIntegrationTest$MultiBankTests","testSameBankTransfer","✅ Same-bank transfer (SBI to SBI)",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","104","","Transfer Processing - Happy Path","","com.npci.upi.unit.UPITransferServiceTest$TransferHappyPathTests","testSuccessfulP2PTransfer","✅ Valid P2P transfer should succeed",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","4","","VPA Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$VPAValidationTests","testNullAndEmptyVPA","❌ Null and empty VPA should fail validation [1] null",""
"passed","Sun Dec 07 06:39:42 UTC 2025","Sun Dec 07 06:39:42 UTC 2025","1","","Amount Validation Tests","","com.npci.upi.unit.UPITransferServiceTest$AmountValidationTests","testValidAmounts","✅ Valid amounts within UPI limits should pass",""
